name,bizid,description
Better化学大本营,MzIxOTI2MDQ5Mw==,"在这个小园地，撰写教学所思、所想，提供高中化学微课程资源, 创造有温度的解题攻略， 欢迎关注!"
共享化学,Mzg3OTEwMDI5MA==,"高中学生可通过微视频自主学习巩固知识、拓展视野；记录团队教学实践给高中化学老师提供可借鉴的教学策略；分享好的资源互相学习。"
人民日报,MjM5MjAxNDM4MA==,"参与、沟通、记录时代。"
半佛仙人,MzI2MzE2NDczMw==,"半佛仙人那些疯癫又暴躁的灵魂文章。"
果壳,MTg1MjI3MzY2MQ==,"科学和技术，是我们和这个世界对话所用的语言。"
L先生说,MzAxNTY0NjEzNg==,"Lachel，专注心理学、认知科学和心智成长。每周四原创更新，与你一起探索事物本质。"
人物,MjEwMzA5NTcyMQ==,"最好的中文人物报道"
兽楼处,MzU3MzQ2MDEwNQ==,"爷是老兽医，专治吹牛逼。"
雪球,MzA5MjE3ODgzNA==,"炒股，看雪球就够了。雪球唯一官方账号，关注雪球做更聪明的投资者。"
招财大牛猫,MjM5MjAxNTE4MA==,
爱范儿,MjgzMTAwODI0MA==,"数字公民的糖"
乱翻书,MjM5MDczODM3Mw==,"科技考古，研究公司的兴衰循环。"
机器之心,MzA3MzI4MjgzMw==,"专业的人工智能媒体和产业服务平台"
Sir电影,MzIzOTQ0MTUwMA==,"爱电影的人，一直关注我"
卢克文工作室,MzIwMzAwMzQxNw==,"用深度，记录世界当代史。"
印象笔记,MjM5OTA3MjUwMA==,"这里是超过2亿人热爱的印象笔记！帮助个人及团队保存高价值信息、整理知识、有效协作；手机、电脑、平板，多终端一键同步！让印象笔记成为你的“第二大脑”，随时随地保存灵感，有序生活，高效工作！"
泽平宏观,MjM5MjMxODAzMQ==,"预判经济形势，解读公共政策，提供及时信息，推送专业报告。"
少数派,MzU4Mjg3MDAyMQ==,"少数派帮你更好地运用数字产品，提升你的工作效率和生活品质。"
小声比比,MzIxMjgxMDAwOA==,"【人人有图斗】公益基金发起人"
彭博环球财经,MzAxNDM1NjA1Nw==,"彭博环球财经由彭博Bloomberg出品，每个工作日的清晨为您提供最及时的全球隔夜市场回顾。彭博是全球商业、金融信息和新闻资讯的领先提供商。彭博专业服务（即彭博金融终端）为全球用户提供实时的市场资讯、准确的数据与分析，为决策者创造竞争优势。"
深网腾讯新闻,MzIwMTY1NDg4Nw==,"腾讯新闻出品栏目，《深网》是一档原创深度报道栏目，挖掘科技和TMT领域热门公司、事件和人物中的隐秘故事，探究背后的深层逻辑。"
DT财经,MzA5Mzk5MDM5MA==,"第一财经旗下研究型青年媒体，关注年轻人和他们所热爱的一切。"
南方周末,Njk5MTE1,"在这里，读懂中国！infzm.com"
网易数读,MzAxNjYwMzMwNw==,"网易新闻旗下数据新闻栏目，用数据说话。"
YXECG,MzIwNDY1Njg2Ng==,"了解你想知道的，STEAM的一切！每日分享游戏打折信息和优质游戏评测。"
极客公园,MTMwNDMwODQ0MQ==,"用极客视角，追踪你最不可错过的科技圈。"
南方人物周刊,MTY0MzI5NDcwMQ==,"重新打量每个生命"
ZEALER,MjM5NzYwNjk2Mg==,"每晚十点，首发当天热门科技"
知日,MjM5NDQ0ODYwMA==,"致力为中国年轻人深度报道日本文化，技术，创意，艺术和旅行。"
品玩,MjM5MjM3NzQwMA==,"有品好玩的科技，一切与你有关"
InfoQ,MjM5MDE0Mjc4MA==,"为一线互联网公司核心技术人员提供优质内容。科技圈的观察者，前沿技术的传播者。"
每日人物,MzA5NTExODU1OQ==,"轻商业，懂生活。"
DeepTech深科技,MzA3NTIyODUzNA==,"DeepTech是一家关注新兴科技产业化的内容、行业研究和投融资的全链条服务平台，致力于构建一个全球科技创新合作网络。"
仙人JUMP,MzI5MTE2NDI2OQ==,"仙人可痒痒可跳跳了。"
架构师之路,MjM5ODYxMDA5OQ==,"架构师之路，坚持撰写接地气的架构文章"
MacTalk,MjM5ODQ2MDIyMA==,"MacTalk 开通于2012年末，内容起于 Mac 而不止 Mac，内容覆盖了技术、创业、产品和人文思考。文风有趣，又有一点力量。"
爱否科技,MjM5NzE1NTMyNg==,"聚焦「手机互联网」领域的行业思考和产品体验"
量子位,MzIzNjc1NzUzMw==,"追踪人工智能新趋势，报道科技行业新突破"
独立鱼电影,MzA5MDM1MTcyNQ==,"承包你全年的电影片单，延长三倍的人生体验。有鱼叔，电影从未如此有趣。"
华尔街见闻,MjM5NzAwMzU0MA==,"华尔街见闻是中国领先的金融信息和商业资讯提供商，首创金融信息和商业资讯“实时”模式，重要信息秒级推送，为用户提供资讯、数据、行情、研究和社区等服务，7*24小时全年不间断。"
人人都是产品经理,MjM5OTEwNjI2MA==,"产品经理不再是一个单纯的职位，而是一种思维方式，人人都应具备。每个人都是自己的产品经理，人生就在不断打造“自己”这款超级产品。"
笔吧评测室,MzIxMTAyNjk0OA==,"欢迎关注笔吧评测室，我们是笔记本电脑爱好者，买电脑，战奸商，看电脑评测，都可以关注我们。"
科技美学,MjM5MDQ4MzU5NQ==,"中国领先的科技新媒体，那岩 每天用语音为你解读前沿科技，更有每期平均100万播放量的数码产品测评视频放送。工作外联 kejimeixue@163.com、官方网站 kjmx.com、官方浪微博 @科技美学"
人民日报评论,MzA4OTIyMjUyOQ==,"人民日报评论部微信公共账号。秉承党报评论的厚土，我们向新媒体平台伸出小小一枝，期待与您一起见证复杂而深刻的转型中国。"
商业周刊中文版,MzIyMDcwMjAwMA==,"全球视野 国际商机"
keso怎么看,MzI1ODIyMjAwMA==,"科技，互联网，生活及其他"
政事堂2019,MzAwMzU1ODAwOQ==,"另一个维度看世界"
孤独大脑,MjM5ODAyMjg3Ng==,"关于思考的思考"
奔跑中的奶酪,MzAwMjUyNzYxMw==,"高效方法论，用方法论的视角看世界。"
侠客岛,MzA3MDM2NTIwMA==,"但凭侠者仁心，拆解时政迷局。"
KnowYourself,MzA4NjcyMDU1NQ==,"引领身心健康的生活方式。"
刘润,MjM5NjM5MjQ4MQ==,"欢迎关注这个洞察事物本质的公号。刘润，润米咨询创始人，40万学员《5分钟商学院》主理人，前微软战略合作总监，国内知名商业顾问。为海尔、中远、恒基、百度等多家知名企业提供战略咨询服务。"
宁南山,MzI0Mjc2NDc2OQ==,"在深圳搬砖的中产阶级，有价值的产业，经济，政经和生活内容信息提供者。"
一本黑,MzU4ODAwNzUwMQ==,"一双互联网阴暗面的眼睛"
哈佛商业评论,MjM5NzY4MzQyMQ==,"《哈佛商业评论》( Harvard Business Review，简称 HBR )创建于1922年，是哈佛商学院的标志性杂志，被全球商界誉为“管理圣经”，众多耳熟能详的管理思想家、管理理论均出自《哈佛商业评论》。更多管理智慧，请登录官方网站：www.hbrchina.org。"
张佳玮写字的地方,MzA5NjY2NTcxOA==,"文学、艺术、体育、历史、旅行等题材的文字源。"
42章经,MzIyMDE5OTYyMw==,"思考事物本质 | 创投圈教科书式必读公号"
stormzhang,MzA4NTQwNDcyMA==,"前码农&产品人，现自由职业者，创业者。"
X博士,MzAxOTMxNTUxNw==,"广阔天地，大有作为"
功夫财经,MzIzOTA3NTA5Mg==,"国民财商提升者，财经新媒体头部平台，由知名财经主持人王牧笛创办。汇聚中国“极具圈层价值的财经学者天团”，通过音频、时评文章、直播、社群活动，每天第一时间解读财经事件，透视财富生活。这里是财经江湖，这里有真功夫。"
水库论坛,MzAxNTMxMTc0MA==,"科学尚未普及"
辉哥奇谭,MzA5NjM0Nzc3NA==,"和我一起，探索财富与精神自由之路"
看理想,MzA3MDM3NjE5NQ==,"“看理想”诞生于知名出版品牌“理想国”，以“做出版”的态度，开发视频节目、直播、音频及周边产品等一系列媒介，探寻文化生活的另一种可能。"
GQ实验室,MjM5MDA1ODAzMg==,"有型有款，智趣不凡"
槽边往事,MjM5MjAzODU2MA==,
澎湃新闻,MjM5MzI5NTU3MQ==,"有内涵的时政新媒体"
财新网,MjY2NzgwMjU0MA==,"实时、原创、专业的财经新闻集散地。在信息爆炸的年代，你需要选择"
新潮沉思录,Mzg5NjE3MzI5NQ==,
谷雨实验室-腾讯新闻,MzU2MDEwMTIwMg==,"腾讯新闻出品、谷雨工作室旗下栏目，聚焦深度图文内容。"
占豪,MzUxNjUxMTg3OA==,"国际局势·财经投资·国学哲学丨连续6年新媒体百大人物/自媒体最佳表现大奖/最受中国企业关注的自媒体账号丨我们一起同行，我们一起进步！"
科研圈,MzA5NDkzNjIwMg==,"《环球科学》杂志旗下学术传播与服务平台，官方网站领研网 www.linkresearcher.com"
最美应用,MjM5MTA2NjI0MQ==,"一起发现好用、好看、好玩的应用"
大浪淘沙,MjM5NzE2NTY0Ng==,"严肃知识分享平台"
环球科学,MjM5NDA1Njg2MA==,"《环球科学》杂志官方帐号 www.huanqiukexue.com"
好奇心日报,MzA3MzU0OTQzMw==,"你的头条不该只是些无聊事，让好奇驱动你的世界"
经纬创投,MzA3ODk5OTEzOA==,"经纬创投公众平台，创享汇，新闻发布官方平台"
阑夕,MjM5NzY2OTE2MQ==,"商业科普视频博主，知名科技自媒体，专注于互联网、新媒体及亚文化的深度观察和商业评论。"
小众软件,MjM5NDMwMTI2MA==,"推荐有灵魂的电脑软件、手机应用。"
棱镜,MzA3MTY0MTQzNg==,"腾讯新闻出品栏目，《棱镜》聚焦泛财经深度报道。"
回形针PaperClip,MzA3NDM1MjUwNg==,
定投十年赚十倍,MzAwNzQ5ODk3Nw==,"银行螺丝钉，专注于指数基金，雪球超人气大V，畅销书《指数基金投资指南》作者，曾多次排名亚马逊财经书籍榜首。北京电视台投资者说节目特邀嘉宾，中央广播电视台经济之声节目特邀嘉宾。雪球、微博账号：银行螺丝钉"
罗辑思维,MjM5NjAxOTU4MA==,"每天一段罗胖的60秒语音，推荐一本值得阅读的好书。 关注罗辑思维，我们一起终身学习。"
秋叶PPT,MjM5MDgxNjc0MA==,"免费PPT模板、PPT干货教程、PPT素材资源一网打尽！Office、神器工具、职场成长，每天早上三分钟，碎片时间学起来！"
也谈钱,MzUzNjE3NzQ3Nw==,"一枚工程师的财务自由日志，工资理财也能财务自由。"
灏泽异谈,MzI4OTUyODgwMQ==,"用智慧让你过得更好，用命理助你爬的更高。备用号“灏泽论坛”"
知识分子,MzIyNDA2NTI4Mg==,"知识分子由非营利公益组织北京市海淀区智识前沿科技促进中心主办，以传播科学知识、弘扬科学精神、促进科学文化为使命，致力于关注科学、人文、思想。我们将兼容并包，时刻为渴望知识、独立思考的人努力，共享人类知识、共析现代思想、共建智趣中国。"
九边,MzUzMjY0NDY4Ng==,"一个么得感情的公众号"
AI财经社,MzI2NDA5NDUxMw==,"《财经天下》商业观察"
包邮区,MzUxMzAzMzk5Ng==,"弘扬社会主义核心价值观，共筑中国梦"
新智元,MzI3MTA0MTk1MA==,"智能+中国主平台，致力于推动中国从互联网+迈向智能+新纪元。重点关注人工智能、机器人等前沿领域发展，关注人机融合、人工智能和机器人革命对人类社会与文明进化的影响，领航中国新智能时代。"
浪潮工作室,MzU4Mjg2OTI2MA==,"网易旗下栏目，给你另一种看世界的角度和态度"
CSDN,MjM5MjAwODM4MA==,"专业的中文 IT 技术社区，与千万技术人共成长。"
吴晓波频道,MzA3OTM5NTkxNA==,"这是财经作家吴晓波带领“巴九灵”们运营的知识平台，这里汇聚了400多万认可商业之美、崇尚自我奋斗、乐意奉献共享、拒绝屌丝文化的新中产。"
三联生活周刊,MTc5MTU3NTYyMQ==,"一本杂志和他倡导的生活。"
越女事务所,MzAwNzM3NzU4OQ==,"感受金钱的善意。"
晚点LatePost,MzU3Mjk1OTQ0Ng==,"最好的商业报道"
改变自己,MjM5NDg2NjA4MQ==,"相信我，改变自己一定是痛的。"
